time_min,replica,cpu_cores,hpa_threshold_cores,replica_count
4.50,tskjt,0.00281,0.05000,5
4.50,xsc9d,0.00226,0.05000,5
4.50,zjflw,0.00229,0.05000,5
4.75,787rb,0.03168,0.05000,5
4.75,79xf6,0.04469,0.05000,5
4.75,7wjxh,0.00825,0.05000,5
4.75,nkrrr,0.06517,0.05000,5
4.75,tskjt,0.00281,0.05000,5
4.75,xsc9d,0.00226,0.05000,5
4.75,zjflw,0.00229,0.05000,5
5.00,787rb,0.04424,0.05000,5
5.00,79xf6,0.04482,0.05000,5
5.00,7wjxh,0.05920,0.05000,5
5.00,nkrrr,0.05016,0.05000,5
5.00,tskjt,0.02706,0.05000,5
5.00,xsc9d,0.00969,0.05000,5
5.00,zjflw,0.00229,0.05000,5
5.25,787rb,0.04222,0.05000,6
5.25,79xf6,0.04992,0.05000,6
5.25,7wjxh,0.05780,0.05000,6
5.25,nkrrr,0.04871,0.05000,6
5.25,tskjt,0.06294,0.05000,6
5.25,xsc9d,0.05557,0.05000,6
5.25,zjflw,0.02149,0.05000,6
5.50,787rb,0.04693,0.05000,6
5.50,79xf6,0.05139,0.05000,6
5.50,7wjxh,0.05055,0.05000,6
5.50,nkrrr,0.04656,0.05000,6
5.50,tskjt,0.04445,0.05000,6
5.50,xsc9d,0.04316,0.05000,6
5.50,zjflw,0.05971,0.05000,6
5.75,787rb,0.04996,0.05000,7
5.75,79xf6,0.05639,0.05000,7
5.75,7wjxh,0.05094,0.05000,7
5.75,nkrrr,0.04684,0.05000,7
5.75,tskjt,0.04278,0.05000,7
5.75,xsc9d,0.04136,0.05000,7
5.75,zjflw,0.05046,0.05000,7
6.00,787rb,0.05249,0.05000,7
6.00,79xf6,0.05590,0.05000,7
6.00,7wjxh,0.04491,0.05000,7
6.00,nkrrr,0.04201,0.05000,7
6.00,tskjt,0.04309,0.05000,7
6.00,xsc9d,0.04487,0.05000,7
6.00,zjflw,0.05226,0.05000,7
6.25,787rb,0.05100,0.05000,7
6.25,79xf6,0.05467,0.05000,7
6.25,7wjxh,0.04104,0.05000,7
6.25,nkrrr,0.03901,0.05000,7
6.25,tskjt,0.04405,0.05000,7
6.25,xsc9d,0.05052,0.05000,7
6.25,zjflw,0.05657,0.05000,7
6.50,787rb,0.05433,0.05000,7
6.50,79xf6,0.05112,0.05000,7
6.50,7wjxh,0.04149,0.05000,7
6.50,nkrrr,0.03757,0.05000,7
6.50,tskjt,0.04511,0.05000,7
6.50,xsc9d,0.04742,0.05000,7
6.50,zjflw,0.05778,0.05000,7
6.75,787rb,0.05369,0.05000,7
6.75,79xf6,0.04860,0.05000,7
6.75,7wjxh,0.03906,0.05000,7
6.75,nkrrr,0.03737,0.05000,7
6.75,tskjt,0.05035,0.05000,7
6.75,xsc9d,0.05487,0.05000,7
6.75,zjflw,0.05685,0.05000,7
7.00,787rb,0.05121,0.05000,7
7.00,79xf6,0.04280,0.05000,7
7.00,7wjxh,0.03813,0.05000,7
7.00,nkrrr,0.04138,0.05000,7
7.00,tskjt,0.05226,0.05000,7
7.00,xsc9d,0.05342,0.05000,7
7.00,zjflw,0.05606,0.05000,7
7.25,787rb,0.04549,0.05000,7
7.25,79xf6,0.04225,0.05000,7
7.25,7wjxh,0.03981,0.05000,7
7.25,nkrrr,0.04600,0.05000,7
7.25,tskjt,0.05234,0.05000,7
7.25,xsc9d,0.05577,0.05000,7
7.25,zjflw,0.05032,0.05000,7
7.50,787rb,0.04423,0.05000,7
7.50,79xf6,0.04432,0.05000,7
7.50,7wjxh,0.04111,0.05000,7
7.50,nkrrr,0.04713,0.05000,7
7.50,tskjt,0.05339,0.05000,7
7.50,xsc9d,0.05025,0.05000,7
7.50,zjflw,0.04822,0.05000,7
7.75,787rb,0.04191,0.05000,7
7.75,79xf6,0.04213,0.05000,7
